Date,IP address,User,Activity,Item,Detail,More
10/3/2017 18:33,14.198.3.169,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""",Id:21527d63-7750-4019-b9be-08d50a4a2802;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.1; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0;
10/3/2017 16:04,202.155.194.50,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:a1cd9302-0bf7-44a7-6f4c-08d50a3570ef;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38;"
10/3/2017 15:50,202.155.194.53,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:43615d91-f4e5-49a5-895a-08d50a33617d;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36;"
10/3/2017 14:50,202.189.127.67,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:34863374-fe9b-4a77-e2ed-08d50a2b144c;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/3/2017 14:06,203.198.185.190,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:1d7e3237-9b97-485a-d34d-08d50a24f207;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/3/2017 10:53,175.159.121.219,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:4f73feda-94c1-4e70-edd6-08d50a09f1b9;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/3/2017 9:52,183.179.162.52,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:e0ec2621-c70d-4f26-ccee-08d50a01738f;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
10/2/2017 21:05,1.36.253.149,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:aad892c8-05c2-409a-3b35-08d509965173;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/1/2017 23:16,183.179.20.78,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:eb94d0ad-dcc4-4f5f-859c-08d508df7125;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/1/2017 17:32,218.255.64.52,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:8ace1a79-58ee-4732-4156-08d508af6629;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
