Date,IP address,User,Activity,Item,Detail,More
9/19/2017 22:15,147.8.52.201,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:25f803df-a525-490d-c1ca-08d4ff68dc0a;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36;"
9/19/2017 22:14,218.250.142.158,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""",Id:f3cf8fe7-a932-42bc-20f3-08d4ff68b3e2;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:55.0) Gecko/20100101 Firefox/55.0;
9/19/2017 21:55,210.6.162.164,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:73e0a531-69f6-4977-303c-08d4ff66131c;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
9/19/2017 20:45,147.8.221.73,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:840650e3-721c-40cc-1bf1-08d4ff5c44b4;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36;"
9/19/2017 20:34,59.149.19.209,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:11f80d53-f8ca-4519-900c-08d4ff5ac19b;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
9/19/2017 19:49,119.236.147.73,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:2f73a8c0-6796-4a1c-1d1a-08d4ff547163;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36;"
9/19/2017 19:45,61.239.164.245,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:cffb0a0f-14fe-4efe-2956-08d4ff53f7c7;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8;"
9/19/2017 17:22,203.218.17.173,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:879a3ccc-6649-41c2-e796-08d4ff3fe79a;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
9/19/2017 17:06,137.189.240.60,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:3a1c03ec-e41d-4812-cd49-08d4ff3dc8f1;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8;"
9/19/2017 14:20,202.45.51.204,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:8a318a55-fc39-48e6-6187-08d4ff269791;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
